Date,Total_Equity
2025-03-14,100000.0
2025-03-17,100612.40439146354
2025-03-18,100151.80412033142
2025-03-19,100692.71070222552
2025-03-20,101679.25845988467
2025-03-24,101120.00120977621
2025-03-26,101075.9422497114
2025-03-27,99564.99927896347
2025-04-03,101489.26797405607
2025-04-04,101770.43617757563
2025-04-07,98583.72575863302
2025-04-08,99115.9038996461
2025-04-10,99056.18341327572
2025-04-11,100112.41353715943
2025-04-14,101358.68550778294
2025-04-15,101573.10529961734
2025-04-16,100566.95594027557
2025-04-17,100196.42590897027
2025-04-18,100452.15730308305
2025-04-21,100601.56944423498
2025-04-22,101417.03610364029
2025-04-23,100633.07218961942
2025-04-24,100636.58357006071
2025-04-25,101834.80934964214
2025-04-28,99829.18824069024
2025-04-29,100529.03944981954
2025-04-30,98597.29482810463
2025-05-02,100398.38670374479
2025-05-05,101287.48224908928
2025-05-06,102705.74813551854
2025-05-07,98191.07543043615
2025-05-09,96571.01811082463
2025-05-12,97706.21000920818
2025-05-13,98021.62445853895
2025-05-14,98508.77621457743
2025-05-15,97753.26965174609
2025-05-16,97446.11884234558
2025-05-19,96958.61734727562
2025-05-20,97861.2460329474
2025-05-21,98671.82241132215
2025-05-22,98018.58357725476
2025-05-23,99290.8528997985
2025-05-26,101180.64489846947
2025-05-27,102895.49480446042
2025-05-30,104890.28315017647
2025-06-03,102905.14471195334
2025-06-05,103964.00117250104
2025-06-10,105711.74981680767
2025-06-11,106479.64576506271
2025-06-12,104249.16561752897
2025-06-16,105573.96445851955
2025-06-17,106246.04691771872
2025-06-18,106795.85845320491
2025-06-19,106449.8781777461
2025-06-20,105734.6173988753
2025-06-24,108778.31752842116
2025-06-25,111903.06562792428
2025-06-26,113962.15920939232
2025-06-30,117878.12701498595
2025-07-01,119996.7632059755
2025-07-02,119982.29248260989
2025-07-03,120112.1243046441
2025-07-04,120598.96448109185
2025-07-07,122850.42373237235
2025-07-08,124165.75710410174
2025-07-10,129744.90304668543
2025-07-11,129577.69896282116
2025-07-14,131783.55862936506
2025-07-15,130041.06337101493
2025-07-16,129199.48656061932
2025-07-17,129964.23792678467
2025-07-18,127750.03186688185
2025-07-21,128571.14810506663
2025-07-23,129241.6917689636
2025-07-24,126852.1274996448
2025-07-25,127602.41658625938
2025-07-29,124903.60979549047
2025-07-30,124365.684392441
2025-08-01,125426.44481990814
2025-08-06,132123.17057061614
2025-08-07,133900.68694387394
2025-08-08,135455.79050515682
2025-08-11,137502.0458304888
2025-08-12,139508.58560209538
2025-08-13,137939.57375348842
2025-08-15,138501.89961055183
2025-08-18,138441.01904496667
2025-08-19,141961.5206927132
2025-08-20,142716.86102294538
2025-08-22,142564.33494185432
2025-08-27,144886.6245725706
2025-08-29,144330.99018203252
2025-09-02,150455.3965354402
2025-09-04,158173.9736999916
2025-09-05,161872.57058047992
2025-09-08,163013.6088751924
2025-09-09,163514.45460732555
2025-09-10,164168.12365504296
2025-09-11,168167.11772564746
2025-09-12,165962.50778188382
2025-09-15,167720.78480355866
2025-09-16,168750.66758722556
2025-09-17,170440.96919773179
2025-09-18,170158.47696004296
2025-09-19,170633.18438297947
2025-09-22,172162.00391833743
2025-09-23,171207.44437327376
2025-09-24,172689.92077656992
2025-09-25,170854.38964061608
2025-09-26,173925.63138909946
2025-09-29,175187.48178081145
2025-09-30,175940.8281424622
2025-10-01,173687.573624354
2025-10-02,176038.0066994368
2025-10-03,174058.27991371218
2025-10-06,171621.9058865466
2025-10-07,169622.3090331313
2025-10-08,168074.8184458313
