SYMBOL,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Return_%,Profit_Rs,Exit_Reason
DCR,2025-03-14,24.59,2025-04-03,25.89,5.2867019113460785,634.4042293615294,Reward Target Reached (3x ATR)
GHGL,2025-03-14,34.92,2025-04-07,31.428,-10.000000000000002,-1200.0,Stop Hit (Strict 10% Loss Cap)
GHNI,2025-04-03,761.66,2025-04-10,690.92,-9.287608644276975,-1115.3024507560112,Stop Loss Hit
EPQL,2025-04-07,30.08,2025-04-14,35.27,17.253989361702143,2046.2936913387075,Reward Target Reached (3x ATR)
FCSC,2025-04-10,1.65,2025-04-24,1.51,-8.484848484848479,-999.4212940192938,Stop Loss Hit
DFSM,2025-04-14,3.3,2025-04-24,3.29,-0.30303030303029654,-36.44458945431688,Stop Loss Hit
MDTL,2025-04-24,1.89,2025-05-07,1.72,-8.994708994708992,-1072.1282558539679,Stop Loss Hit
GTYR,2025-04-24,36.93,2025-05-09,33.61,-8.989981045220688,-1071.5647058556697,Stop Loss Hit
WTL,2025-05-07,1.22,2025-05-09,1.1,-9.836065573770481,-1152.4830947916907,Stop Loss Hit
JGICL,2025-05-09,46.04,2025-05-26,56.52,22.762814943527378,2623.187345770839,Reward Target Reached (3x ATR)
ALTN,2025-05-12,11.91,2025-06-10,11.69,-1.8471872376154546,-215.37218680482692,Time Stop (Capital Reallocation)
GEMSPNL,2025-06-10,39.44,2025-06-19,35.6,-9.736308316430012,-1153.5770301133725,Stop Loss Hit
AKBL,2025-05-27,47.85,2025-07-02,54.03,12.915360501567397,1525.8355423268276,Reward Target Reached (3x ATR)
UCAPM,2025-06-19,3.13,2025-07-07,3.7,18.210862619808317,2131.9102453538508,Trailing Stop / Break-Even Hit
KOIL,2025-07-02,10.11,2025-07-10,14.8,46.38971315529181,5650.621468131438,Reward Target Reached (3x ATR)
AHCL,2025-07-07,11.44,2025-07-24,11.61,1.4860139860139854,182.17736573614638,Trailing Stop / Break-Even Hit
ALAC,2025-07-24,12.55,2025-07-25,11.3,-9.9601593625498,-1270.32081599927,Stop Loss Hit
BAHL,2025-07-10,171.67,2025-08-19,205.19,19.525834449816514,2519.746328664871,Reward Target Reached (3x ATR)
DWTM,2025-08-19,7.1,2025-08-29,7.05,-0.7042253521126736,-91.15723030599474,Stop Loss Hit
AHL,2025-08-29,92.54,2025-09-17,106.11,14.663929111735458,1909.589627632613,Reward Target Reached (3x ATR)
AHCL,2025-07-25,12.75,2025-09-18,14.48,13.568627450980394,1710.2412116386422,Reward Target Reached (3x ATR)
ASTL,2025-09-17,26.96,2025-09-25,25.86,-4.080118694362023,-541.3065933274156,Stop Loss Hit
BECO,2025-09-25,35.52,2025-09-30,35.79,0.7601351351351239,101.60767607793059,Trailing Stop / Break-Even Hit
