Date,Total_Equity
2025-03-14,100000.0
2025-03-17,99581.58995815899
2025-03-18,99079.49790794979
2025-03-19,99497.9079497908
2025-03-20,99739.82907504674
2025-03-24,99222.82560313362
2025-03-26,97349.10531469778
2025-03-27,96832.10184278466
2025-04-03,121709.91720822577
2025-04-04,121444.69235259989
2025-04-07,117402.39190118224
2025-04-08,116201.02520969004
2025-04-10,114939.80184112425
2025-04-11,116487.91899593596
2025-04-14,115408.3900171086
2025-04-15,114638.50000468237
2025-04-16,113257.74686660705
2025-04-17,112856.01108468452
2025-04-18,113257.6691894131
2025-04-21,117617.47075451878
2025-04-22,121809.98598008201
2025-04-23,121448.91650367298
2025-04-24,118572.9666812924
2025-04-25,118889.17867044933
2025-04-28,114613.80842968468
2025-04-29,113042.47427236478
2025-04-30,109492.38514622005
2025-05-02,112651.72188042763
2025-05-05,117713.48115998585
2025-05-06,121695.10428989923
2025-05-07,114988.97293272303
2025-05-09,113486.30166185617
2025-05-12,122441.64059451666
2025-05-13,122246.29186672375
2025-05-14,121644.19614995908
2025-05-15,121692.64961329378
2025-05-16,121604.2773183739
2025-05-19,121505.73389619132
2025-05-20,119831.1089649648
2025-05-21,127082.84093954187
2025-05-22,132496.44074970068
2025-05-23,133859.72383042864
2025-05-26,138622.66852230465
2025-05-27,137865.23540527
2025-05-30,138480.81253841025
2025-06-03,137908.66766712297
2025-06-05,137388.00312605547
2025-06-10,140709.36139846913
2025-06-11,140555.4981356992
2025-06-12,137960.52614178596
2025-06-16,136555.43144812362
2025-06-17,138409.6738878456
2025-06-18,134234.37345593626
2025-06-19,133345.1954753522
2025-06-20,131513.74681446835
2025-06-24,132469.88283429266
2025-06-25,140709.36139846913
2025-06-26,147712.9969602751
2025-06-30,148036.86820322336
2025-07-01,147952.05328535585
2025-07-02,151262.6816767383
2025-07-03,149701.63341464382
2025-07-04,148720.80238254074
2025-07-07,150450.43532753922
2025-07-08,152491.68654545734
2025-07-10,149636.66588934278
2025-07-11,148752.04666452634
2025-07-14,149171.751570318
2025-07-15,145720.36896680365
2025-07-16,158891.35522610118
2025-07-17,170404.32512713113
2025-07-18,173028.55088909078
2025-07-21,173010.31586602022
2025-07-23,170621.63282620476
2025-07-24,168623.8788603008
2025-07-25,161033.8549432398
2025-07-29,162819.11102444062
2025-07-30,148867.51401565314
2025-08-01,153834.00662304735
2025-08-06,167013.4826510063
2025-08-07,167744.1770312222
2025-08-08,176107.24214261508
2025-08-11,180091.77399608618
2025-08-12,192013.21874679945
2025-08-13,188229.19999693905
2025-08-15,181339.35149049677
2025-08-18,181184.47017959366
2025-08-19,180017.19224894937
2025-08-20,180154.3849620882
2025-08-22,178712.7216051663
2025-08-27,175932.719185947
2025-08-29,173743.14712747803
2025-09-02,172744.68373537244
2025-09-04,177339.59066430206
2025-09-05,173089.0607705082
2025-09-08,179855.21426289313
2025-09-09,187896.85750667524
2025-09-10,196089.97952329947
2025-09-11,204735.7130076074
2025-09-12,204985.46363046806
2025-09-15,205071.5715523238
2025-09-16,205271.88541907555
2025-09-17,215348.89087111637
2025-09-18,219678.19253928744
2025-09-19,224405.78126690263
2025-09-22,226519.88984000075
2025-09-23,226153.16021242103
2025-09-24,230499.7225334429
2025-09-25,238769.70047152758
2025-09-26,238356.68364245264
2025-09-29,235053.82799583697
2025-09-30,238681.70594097392
2025-10-01,239370.4025086884
2025-10-02,228712.1002942667
2025-10-03,232345.82631289284
2025-10-06,247893.0298633031
2025-10-07,263087.1256072627
2025-10-08,247659.58067105126
2025-10-09,241711.63853779575
2025-10-10,239853.1998700655
2025-10-13,230677.6210124634
2025-10-14,227161.77438493137
2025-10-15,228238.9293801745
2025-10-16,225618.3737959649
2025-10-17,227352.43277430316
2025-10-20,225338.0529482966
2025-10-21,227873.71172851586
2025-10-22,240134.2575888951
2025-10-23,225350.99631317038
2025-10-24,223266.97780031414
2025-10-28,218878.98359922087
2025-10-29,233846.118123181
2025-10-31,257529.5265348247
2025-11-03,257173.62574848445
2025-11-04,273620.2402887277
2025-11-05,287436.4998009009
2025-11-06,305073.85848988546
2025-11-07,324548.31996232795
2025-11-10,350249.92434823286
2025-11-11,377996.73551287653
2025-11-12,403962.71810787526
2025-11-13,430194.0978642324
2025-11-14,413749.0726751926
2025-11-17,397294.67312531924
2025-11-18,387052.84185978514
2025-11-19,385592.0378978136
2025-11-21,373363.60518068116
2025-11-24,375702.51853181864
2025-11-25,380743.529106632
2025-11-26,369687.40892760386
2025-11-27,368952.6019012301
2025-11-28,360725.2646235598
2025-12-01,363633.6440814915
2025-12-03,357537.13597000216
2025-12-04,364923.6139255026
2025-12-05,357457.5967481551
2025-12-08,364923.6139255026
2025-12-09,371046.63511094096
2025-12-10,387670.67099249695
2025-12-11,374108.1457036601
2025-12-17,374357.04625172255
2025-12-19,386739.9895659588
2025-12-22,379326.99853650935
2025-12-23,375916.48240883835
2025-12-24,388262.62976660446
2025-12-26,376973.78189621493
2025-12-29,363786.7752162789
2025-12-30,377761.6150704868
2025-12-31,388485.01724071783
2026-01-01,390668.8725547969
2026-01-02,395110.1750958954
2026-01-05,389309.6463714599
2026-01-06,395485.69370479626
2026-01-07,394026.3625345698
2026-01-08,410772.68090334977
2026-01-09,410756.4507119219
2026-01-12,401884.12851224607
2026-01-13,391176.95653344295
2026-01-14,398304.2510583598
2026-01-15,404543.6074221154
2026-01-16,395967.26460949326
2026-01-19,391356.6007421794
2026-01-20,394803.91282632056
2026-01-21,396093.8826703317
2026-01-22,394312.05903910246
2026-01-23,381680.21517680376
2026-01-27,376963.49901369377
2026-01-28,366135.8240420238
2026-01-29,348538.87242929765
2026-01-30,351665.3469471837
2026-02-02,367176.02795626305
2026-02-03,383991.55958961433
2026-02-04,364083.2672078649
2026-02-06,356788.15999946406
2026-02-09,359685.30342531356
2026-02-10,346541.5823340126
2026-02-11,341975.75299753377
2026-02-12,341366.0357894562
2026-02-13,344182.03708153113
2026-02-16,327782.02026453486
2026-02-17,320214.8380881244
2026-02-18,319708.7103831017
2026-02-19,298483.1073552285
2026-02-23,301470.8895476344
2026-02-24,276179.36984594166
2026-02-26,277786.72892900294
2026-03-02,271729.89481320675
2026-03-04,255800.5432160179
2026-03-05,255800.5432160179
2026-03-06,242828.9132354896
2026-03-09,242828.9132354896
2026-03-10,242828.91323548963
2026-03-11,235391.67311398435
2026-03-12,235512.60384766734
2026-03-13,239321.92195868224
