SYMBOL,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Return_%,Profit_Rs,Exit_Reason
PIL,2025-03-19,1.88,2025-04-03,2.69,43.08510638297873,21542.553191489365,Reward Target Reached (4x ATR)
GHNI,2025-04-03,761.66,2025-04-10,690.92,-9.287608644276975,-6644.592354549219,ATR Trailing Stop Hit
POWER,2025-03-14,11.95,2025-04-22,14.26,19.330543933054397,9665.271966527202,Reward Target Reached (4x ATR)
FCSC,2025-04-10,1.65,2025-04-28,1.42,-13.939393939393941,-9046.382419694688,Hard 10% Stop Loss Hit
CPPL,2025-04-28,97.91,2025-05-09,91.58,-6.465121029516902,-3610.8721415704567,ATR Trailing Stop Hit
AKDSL,2025-04-22,18.5,2025-05-22,23.66,27.89189189189189,16641.773153907037,Reward Target Reached (4x ATR)
JGICL,2025-05-09,46.04,2025-05-30,57.02,23.848827106863606,12458.79571909018,Reward Target Reached (4x ATR)
LIVEN,2025-05-22,61.33,2025-07-25,68.77,12.131094081200061,9256.879434143659,ATR Trailing Stop Hit
BNL,2025-07-25,125.36,2025-07-30,111.48,-11.072112316528395,-9473.733829112476,Hard 10% Stop Loss Hit
PIBTL,2025-05-30,8.41,2025-08-11,10.44,24.13793103448275,15617.121171150211,Reward Target Reached (4x ATR)
IGIHL,2025-07-30,240.27,2025-08-12,327.35,36.24256045282391,27577.033372345802,Reward Target Reached (4x ATR)
BNL,2025-08-11,140.24,2025-08-15,134.09,-4.385339418140335,-3522.1565350141173,ATR Trailing Stop Hit
BIPL,2025-08-18,38.12,2025-09-02,34.52,-9.443861490031464,-7252.363060630756,ATR Trailing Stop Hit
GRYL,2025-09-02,24.57,2025-09-11,36.42,48.229548229548236,33539.842381266004,Reward Target Reached (4x ATR)
AHL,2025-09-11,95.77,2025-09-18,110.42,15.297065887020993,15768.513189829915,Reward Target Reached (4x ATR)
HUBC,2025-09-18,197.69,2025-09-25,229.36,16.02003136223381,19039.880828605776,Reward Target Reached (4x ATR)
GRR,2025-08-12,20.08,2025-10-02,19.37,-3.5358565737051664,-3665.5243580401293,Time Stop (Capital Reallocation)
PASM,2025-09-26,7.21,2025-10-09,7.57,4.993065187239949,6884.954561607505,ATR Trailing Stop Hit
BWCL,2025-10-03,655.4,2025-10-28,581.13,-11.332010985657611,-11332.203600355206,Hard 10% Stop Loss Hit
LSEVL,2025-10-10,6.56,2025-10-28,5.9,-10.060975609756087,-14565.807071774776,Hard 10% Stop Loss Hit
CWSM,2025-10-28,28.35,2025-10-31,37.74,33.12169312169313,36248.21262780749,Reward Target Reached (4x ATR)
KOIL,2025-11-03,46.67,2025-11-07,68.31,46.36811656310263,67552.64460701359,Reward Target Reached (4x ATR)
KML,2025-11-07,11.99,2025-11-12,15.96,33.11092577147623,70605.85368362744,Reward Target Reached (4x ATR)
KML,2025-11-12,15.96,2025-11-17,15.46,-3.132832080200501,-8892.424897182267,ATR Trailing Stop Hit
FPRM,2025-10-28,12.3,2025-11-21,12.3,0.0,0.0,ATR Trailing Stop Hit
FNEL,2025-11-21,24.62,2025-11-26,20.78,-15.597075548334685,-17069.360215698776,Hard 10% Stop Loss Hit
CLCPS,2025-11-17,3.49,2026-01-27,3.54,1.4326647564469863,3939.1658713592333,Time Stop (Capital Reallocation)
AGHA,2025-11-26,7.94,2026-01-27,8.43,6.171284634760696,5700.423737546182,ATR Trailing Stop Hit
TRSM,2026-01-27,18.8,2026-01-29,16.44,-12.553191489361698,-23660.47493809354,Hard 10% Stop Loss Hit
FTSM,2026-01-30,44.21,2026-02-04,48.06,8.708437005202446,14353.356866991642,ATR Trailing Stop Hit
BFMOD,2026-01-28,25.32,2026-02-10,22.67,-10.466034755134276,-19726.565410471725,Hard 10% Stop Loss Hit
PACE,2026-02-10,15.54,2026-02-17,12.86,-17.245817245817243,-29103.21064210331,Hard 10% Stop Loss Hit
PIBTL,2026-02-06,19.36,2026-02-24,17.49,-9.659090909090914,-17306.640536407183,Hard 10% Stop Loss Hit
AICL,2026-02-17,97.71,2026-02-24,79.98,-18.14553269880257,-25340.594507667993,Hard 10% Stop Loss Hit
TRSM,2026-02-24,11.17,2026-03-02,9.22,-17.45747538048343,-24106.972748414773,Hard 10% Stop Loss Hit
NCPL,2026-02-24,65.19,2026-03-04,66.95,2.6998005829114975,3728.146118491015,ATR Trailing Stop Hit
CHBL,2026-03-05,9.86,2026-03-06,8.86,-10.141987829614605,-12971.62998052829,Hard 10% Stop Loss Hit
SINDM,2026-03-10,20.08,2026-03-13,19.5,-2.8884462151394343,-3506.99127680737,End of Backtest Liquidation
DHPL,2026-03-11,26.55,2026-03-13,26.55,0.0,0.0,End of Backtest Liquidation
